Randomised Run Order,Test ID,Video Filename,Friction Level,Measured Friction Coefficient,Cycle Duration (s),Cycle-Time Multiplier,Beat Frequency (Hz),Frequency Multiplier,Repeat Number,Phase Shift (deg),Start Blink Time (s),Finish Crossing Time (s),Transport Time (s),Net Travel Distance (mm),Mean Transport Speed (mm/s),Median Transport Speed (mm/s),Number of Complete Cycles,Mean Net Advance per Cycle (mm),SD Net Advance per Cycle (mm),Total Backward Travel (mm),Backward Travel Percentage (%),Maximum Backward Slip in One Cycle (mm),Vertical Centroid Peak-to-Peak (mm),Vertical Centroid RMS (mm),Mean Pitch Angle (deg),Pitch Peak-to-Peak (deg),Maximum Absolute Pitch Angle (deg),Green Marker Detection Rate (%),Frames Requiring Interpolation,Finish Crossing Detected,Quality-Control Status,Notes
1,high_1p5s_rep1,run01_high_cycle1p5s_rep1.mp4.mp4,High,,1.5,0.5,0.6666666666666666,2.0,1,180,0.9329341199606687,6.512894031403496,5.5799599114428275,520.7125295639038,93.31832805753287,102.88003378695049,3,137.4943635022199,2.951825037434913,0.0,0.0,0.0,7.24755859375,1.5377516678039624,0.5110012771050179,1.153235074611064,0.9548735017796253,100.0,0,Yes,PASS,
2,high_3p0s_rep1,run02_high_cycle3s_rep1.mp4.mp4,High,,3.0,1.0,0.3333333333333333,1.0,1,180,1.4695369928400954,12.420683350650597,10.9511463578105,518.7067038536071,47.36551653185227,50.696279403906445,3,144.68583859337704,4.934009258180723,2.1112645785014283,0.40702473340257495,0.33400932947794537,9.477010091145814,2.337951511707432,0.4610778625858745,0.8576714212184473,0.7686388223447711,100.0,0,Yes,PASS,
3,high_6p0s_rep1,run03_high_cycle6s_rep1.mp4.mp4,High,,6.0,2.0,0.16666666666666666,0.5,1,180,1.4698504840340991,23.269115016489724,21.799264532455624,522.3517924838595,23.96189980199383,25.123958612791903,3,142.25828036555535,3.425539290943615,13.232004536522659,2.533159592236208,0.9791982014974678,8.142557779947936,1.9366520878017819,0.5093675520025045,0.989467592762671,0.8781868172307494,100.0,0,Yes,PASS,
4,high_3p0s_rep2,run04_high_cycle3s_rep2.mp4.mp4,High,,3.0,1.0,0.3333333333333333,1.0,2,180,1.3660806417395917,12.337521201832304,10.971440560092713,521.9740130318536,47.575704409361784,51.06862820427445,3,143.83333343929718,3.8573467799164405,2.9942687988281023,0.5736432703682082,0.3978826734754648,7.485921223958314,1.6345975759302773,0.47344750903941535,1.08009349024061,0.9225801319129869,99.69788519637463,1,Yes,PASS,
5,high_6p0s_rep2,run05_high_cycle6s_rep2.mp4.mp4,High,,6.0,2.0,0.16666666666666666,0.5,2,180,0.8674362758014932,22.555625809554,21.688189533752507,522.0908187071483,24.07258650587861,25.76933000328551,3,142.56490131660746,2.1312590736135837,15.97191220389485,3.059221045764804,1.0986663818359261,9.16594441731769,1.5628974962146145,0.4766764400554362,0.8216836410270985,0.7529216388489516,100.0,0,Yes,PASS,
6,high_1p5s_rep2,run06_high_cycle1p5s_rep2.mp4.mp4,High,,1.5,0.5,0.6666666666666666,2.0,2,180,1.1328511695906434,6.738629734350441,5.605778564759798,519.4435719384087,92.6621638613844,101.40175418787902,3,138.1059821799949,3.7242190725398197,0.0,0.0,0.0,8.741495768229186,1.9412873466993716,0.5101713272762312,1.0457944932091037,0.9849470071411083,100.0,0,Yes,PASS,
7,high_6p0s_rep3,run07_high_cycle6s_rep3.mp4.mp4,High,,6.0,2.0,0.16666666666666666,0.5,3,180,1.2344117630015934,22.78419994227564,21.54978817927405,519.7255742443932,24.1174330773353,25.833787521268103,3,143.13159275054934,2.4821733390738787,13.447707207997635,2.5874630525058695,1.1119065602620708,8.119364420572936,1.889570980344209,0.4690815638962142,0.9819845229466266,0.8288735718755081,100.0,0,Yes,PASS,
8,high_1p5s_rep3,run08_high_cycle1p5s_rep3.mp4.mp4,High,,1.5,0.5,0.6666666666666666,2.0,3,180,1.2328084022038568,6.846783266925225,5.613974864721368,522.0715895122953,92.99499945983578,101.44532157306784,3,136.37990936416165,3.6085399031816534,0.0,0.0,0.0,9.018107096354186,2.054033421235224,0.5503014975107141,1.02331465452281,1.0540483574515398,100.0,0,Yes,PASS,
9,high_3p0s_rep3,run09_high_cycle3s_rep3.mp4.mp4,High,,3.0,1.0,0.3333333333333333,1.0,3,180,0.9399124411194237,11.74377081027981,10.803858369160386,519.3606190363566,48.07177225859157,50.88611355540137,3,146.13307825724283,4.373195288854675,1.2374308798048652,0.23826043686193346,0.23840337329440686,8.464996337890625,1.5422873578012195,0.5551667917081953,0.9492003652540614,0.9295700633680811,100.0,0,Yes,PASS,
10,low_6p0s_rep1,run10_low_cycle6s_rep1.mp4.mp4,Low,,6.0,2.0,0.16666666666666666,0.5,1,180,0.9329329724853406,21.785287903956565,20.852354931471226,518.3430317031012,24.85776946568259,25.75673795221267,3,146.13129064771863,5.143895399997743,9.240561061435276,1.7827115435648655,1.1916473388671989,7.886769612630189,1.4753181216628233,0.6170340081847773,1.1890801653509098,1.1922863620075315,100.0,0,Yes,PASS,
11,low_1p5s_rep1,run11_low_cycle1p5s_rep1.mp4.mp4,Low,,1.5,0.5,0.6666666666666666,2.0,1,180,1.2328052681992336,6.498670292298556,5.265865024099322,520.0604186587864,98.76068153640871,104.24974812529447,3,143.61010936454488,5.589721277865805,0.0,0.0,0.0,8.65174357096356,1.9584775717244336,0.627754452156618,0.9225268280872138,1.095194058939148,100.0,0,Yes,PASS,
12,low_3p0s_rep1,run12_low_cycle3s_rep1.mp4.mp4,Low,,3.0,1.0,0.3333333333333333,1.0,1,180,0.7663370836831794,11.382566328917086,10.616229245233907,523.763764974806,49.33613930859176,51.647212200594474,3,148.2919731846562,3.967536521419568,0.0,0.0,0.0,8.482940673828125,1.6997000497669446,0.6049736323785349,0.9156673080324619,1.0438769487508035,100.0,0,Yes,PASS,
13,low_1p5s_rep2,run13_low_cycle1p5s_rep2.mp4.mp4,Low,,1.5,0.5,0.6666666666666666,2.0,2,180,1.1328438647342995,6.510790062049562,5.3779461973152625,522.5467453638713,97.16474025432481,102.4181303102183,3,142.92188549041748,2.9421347424838524,0.0,0.0,0.0,7.249064127604186,1.5353813550551176,0.633878772645525,0.9975298119062301,1.0770437165512643,99.38650306748467,1,Yes,PASS,
14,low_3p0s_rep2,run14_low_cycle3s_rep2.mp4.mp4,Low,,3.0,1.0,0.3333333333333333,1.0,2,180,0.9662519088319088,11.355533374283937,10.389281465452028,521.851121436225,50.22976065973006,52.75873589737,3,150.09583169442638,5.102394490955567,0.0,0.0,0.0,7.082061767578125,1.3146098540072162,0.6677914995479708,0.9882009113002935,1.165987860960215,100.0,0,Yes,PASS,
15,low_6p0s_rep2,run15_low_cycle6s_rep2.mp4.mp4,Low,,6.0,2.0,0.16666666666666666,0.5,2,180,1.0330884259259259,22.284168565003252,21.251080139077324,522.7709579467773,24.599735849919718,26.11332100227758,3,145.91142375380903,4.4681685524187404,6.997103945414274,1.3384645491585705,0.815092468261696,6.642862955729129,1.0792382838278465,0.6190249111327657,1.1782639040908125,1.1449925255897733,100.0,0,Yes,PASS,
16,low_3p0s_rep3,run16_low_cycle3s_rep3.mp4.mp4,Low,,3.0,1.0,0.3333333333333333,1.0,3,180,0.9995705782312925,11.690867295347658,10.691296717116366,522.3740345425076,48.85974530163458,51.391605073788924,3,147.51740540398495,4.932025691858853,0.26434675852457445,0.050604880994149705,0.26434675852457445,9.00823974609375,1.6090320855377604,0.6286569255788486,1.156150055658322,1.1778947647457756,100.0,0,Yes,PASS,
