Response,Source,Sum of Squares,df,Mean Square,F,p-value,Significant at 0.05,Conclusion
Transport Time (s),Friction Level,0.8752586869950454,1,0.8752586869950454,45.874873558840115,1.9774424202443938e-05,Yes,
Transport Time (s),Cycle Duration,782.4628043181261,2,391.23140215906307,20505.584660819644,6.264872241456121e-22,Yes,
Transport Time (s),Friction x Cycle Duration,0.17124145362466692,2,0.08562072681233346,4.487633284757131,0.035062472907070104,Yes,
Transport Time (s),Error,0.2289511322678423,12,0.01907926102232019,,,,
Transport Time (s),Total,783.7382555910137,17,,,,,
Mean Transport Speed (mm/s),Friction Level,27.907329873105652,1,27.907329873105652,112.26870337244308,1.9099281039116248e-07,Yes,
Mean Transport Speed (mm/s),Cycle Duration,15619.720978250092,2,7809.860489125046,31418.373402993304,4.845155749828346e-23,Yes,
Mean Transport Speed (mm/s),Friction x Cycle Duration,13.204118143029273,2,6.602059071514637,26.559495835591353,3.91598909228248e-05,Yes,
Mean Transport Speed (mm/s),Error,2.9829146362036614,12,0.24857621968363844,,,,
Mean Transport Speed (mm/s),Total,15663.815340902429,17,,,,,
Mean Net Advance per Cycle (mm),Friction Level,91.9084664694841,1,91.9084664694841,117.81550822059891,1.4668646343803672e-07,Yes,
Mean Net Advance per Cycle (mm),Cycle Duration,126.96949740836276,2,63.48474870418138,81.37974900629546,1.0481965959327225e-07,Yes,
Mean Net Advance per Cycle (mm),Friction x Cycle Duration,5.2742925453931395,2,2.6371462726965698,3.3805017133319657,0.06847800504356526,No,
Mean Net Advance per Cycle (mm),Error,9.36125994184675,12,0.7801049951538959,,,,
Mean Net Advance per Cycle (mm),Total,233.5135163650882,17,,,,,
Backward Travel Percentage (%),Friction Level,1.757413284965641,1,1.757413284965641,22.53501507984354,0.00047445889826638253,Yes,
Backward Travel Percentage (%),Cycle Duration,14.244056840521615,2,7.122028420260808,91.32457300889779,5.49000146309032e-08,Yes,
Backward Travel Percentage (%),Friction x Cycle Duration,1.7794619763122776,2,0.8897309881561388,11.408870870971413,0.0016760380681375721,Yes,
Backward Travel Percentage (%),Error,0.9358307214291917,12,0.07798589345243263,,,,
Backward Travel Percentage (%),Total,18.71676282322873,17,,,,,
Vertical Centroid Peak-to-Peak (mm),Friction Level,3.2427852612080543,1,3.2427852612080543,3.942486609277774,0.07041364687329212,No,
Vertical Centroid Peak-to-Peak (mm),Cycle Duration,1.0137969394455477,2,0.5068984697227739,0.6162728235667817,0.5561949884988364,No,
Vertical Centroid Peak-to-Peak (mm),Friction x Cycle Duration,0.9142132810673904,2,0.4571066405336952,0.5557373258334971,0.5877305127680512,No,
Vertical Centroid Peak-to-Peak (mm),Error,9.87027401511586,12,0.8225228345929884,,,,
Vertical Centroid Peak-to-Peak (mm),Total,15.041069496836863,17,,,,,
Pitch Peak-to-Peak (deg),Friction Level,0.012924086205589113,1,0.012924086205589113,1.440247577514513,0.25325614327354573,No,
Pitch Peak-to-Peak (deg),Cycle Duration,0.005539158837836777,2,0.0027695794189183886,0.3086392326218191,0.7401050160184832,No,
Pitch Peak-to-Peak (deg),Friction x Cycle Duration,0.06278594584664235,2,0.031392972923321175,3.4984023229618395,0.06353369828262165,No,
Pitch Peak-to-Peak (deg),Error,0.107682204704494,12,0.008973517058707832,,,,
Pitch Peak-to-Peak (deg),Total,0.18893139559456243,17,,,,,
