Include,Randomised Run Order,Test ID,Video Filename,Friction Level,Measured Friction Coefficient,Cycle Duration (s),Repeat Number,Phase Shift (deg),Waveform,Drive Length (mm),Cilia Spacing (mm),Recording Date,Operator Notes
1,1.0,high_1p5s_rep1,run01_high_cycle1p5s_rep1.mp4.mp4,High,,1.5,1.0,180,Rounded triangle,70.0,87.0,,
1,2.0,high_3p0s_rep1,run02_high_cycle3s_rep1.mp4.mp4,High,,3.0,1.0,180,Rounded triangle,70.0,87.0,,
1,3.0,high_6p0s_rep1,run03_high_cycle6s_rep1.mp4.mp4,High,,6.0,1.0,180,Rounded triangle,70.0,87.0,,
1,4.0,high_3p0s_rep2,run04_high_cycle3s_rep2.mp4.mp4,High,,3.0,2.0,180,Rounded triangle,70.0,87.0,,
1,5.0,high_6p0s_rep2,run05_high_cycle6s_rep2.mp4.mp4,High,,6.0,2.0,180,Rounded triangle,70.0,87.0,,
1,6.0,high_1p5s_rep2,run06_high_cycle1p5s_rep2.mp4.mp4,High,,1.5,2.0,180,Rounded triangle,70.0,87.0,,
1,7.0,high_6p0s_rep3,run07_high_cycle6s_rep3.mp4.mp4,High,,6.0,3.0,180,Rounded triangle,70.0,87.0,,
1,8.0,high_1p5s_rep3,run08_high_cycle1p5s_rep3.mp4.mp4,High,,1.5,3.0,180,Rounded triangle,70.0,87.0,,
1,9.0,high_3p0s_rep3,run09_high_cycle3s_rep3.mp4.mp4,High,,3.0,3.0,180,Rounded triangle,70.0,87.0,,
1,10.0,low_6p0s_rep1,run10_low_cycle6s_rep1.mp4.mp4,Low,,6.0,1.0,180,Rounded triangle,70.0,87.0,,
1,11.0,low_1p5s_rep1,run11_low_cycle1p5s_rep1.mp4.mp4,Low,,1.5,1.0,180,Rounded triangle,70.0,87.0,,
1,12.0,low_3p0s_rep1,run12_low_cycle3s_rep1.mp4.mp4,Low,,3.0,1.0,180,Rounded triangle,70.0,87.0,,
1,13.0,low_1p5s_rep2,run13_low_cycle1p5s_rep2.mp4.mp4,Low,,1.5,2.0,180,Rounded triangle,70.0,87.0,,
1,14.0,low_3p0s_rep2,run14_low_cycle3s_rep2.mp4.mp4,Low,,3.0,2.0,180,Rounded triangle,70.0,87.0,,
1,15.0,low_6p0s_rep2,run15_low_cycle6s_rep2.mp4.mp4,Low,,6.0,2.0,180,Rounded triangle,70.0,87.0,,
1,16.0,low_3p0s_rep3,run16_low_cycle3s_rep3.mp4.mp4,Low,,3.0,3.0,180,Rounded triangle,70.0,87.0,,
1,17.0,low_1p5s_rep3,run17_low_cycle1p5s_rep3.mp4.mp4,Low,,1.5,3.0,180,Rounded triangle,70.0,87.0,,
1,18.0,low_6p0s_rep3,run18_low_cycle6s_rep3.mp4.mp4,Low,,6.0,3.0,180,Rounded triangle,70.0,87.0,,
