Randomised Run Order,Test ID,Video Filename,Phase Shift Command (deg),Equivalent Signed Phase (deg),Repeat Number,Start Blink Time (s),Finish Crossing Time (s),Transport Time (s),Net Travel Distance (mm),Mean Transport Speed (mm/s),Median Transport Speed (mm/s),Number of Complete Cycles,Mean Net Advance per Cycle (mm),SD Net Advance per Cycle (mm),Total Backward Travel (mm),Backward Travel Percentage (%),Maximum Backward Slip in One Cycle (mm),Vertical Centroid Peak-to-Peak (mm),Vertical Centroid RMS (mm),Mean Pitch Angle (deg),Pitch Peak-to-Peak (deg),Maximum Absolute Pitch Angle (deg),Green Marker Detection Rate (%),Frames Requiring Interpolation,Finish Crossing Detected,Quality-Control Status,Notes
1,phase270_rep1,run01_phase270_rep1.mp4.mp4,270,-90,1,1.0662100052659294,12.724174065738666,11.657964060472738,517.7765011469522,44.41397301116367,49.86137231724312,3,132.10116502973767,4.350194670231454,0.0,0.0,0.0,6.717926025390625,1.403308618102165,0.6007210473830628,1.8134758522395222,1.4511736918676104,100.0,0,Yes,PASS,
2,phase072_rep1,run02_phase72_rep1.mp4.mp4,72,72,1,1.1994857142857143,12.349449359763021,11.149963645477307,519.4843732939827,46.59067866151277,48.55979850194417,3,137.38683276485517,4.144385382539533,0.0,0.0,0.0,5.743174235026061,1.5545365725319904,0.5839892409081939,2.5784022732964447,1.5429146548365358,100.0,0,Yes,PASS,
3,phase180_rep1,run03_phase180_rep1.mp4.mp4,180,180,1,1.2661241164828951,12.211642285247786,10.94551816876489,520.4091028425429,47.54540578331219,51.40472191901492,3,143.91660368884052,2.585302007726956,4.043611145019554,0.7770062289327413,0.8752588907877339,9.273844401041686,2.1331037113819264,0.5324894053463368,0.9913250312996548,0.9947329651774046,100.0,0,Yes,PASS,
4,phase240_rep1,run04_phase240_rep1.mp4.mp4,240,-120,1,1.166165083135392,12.467695479126817,11.301530395991426,517.4558296309577,45.7863502994688,48.836059502143954,3,135.42049917909836,3.0473976618011744,0.3172924518585205,0.061317784763350536,0.3172924518585205,7.016825358072936,1.3234392216657223,0.6086871012114786,1.208331605131337,1.2801156699807366,100.0,0,Yes,PASS,
5,phase090_rep1,run05_phase90_rep1.mp4.mp4,90,90,1,0.9329339966832504,12.01928698440935,11.086352987726098,515.3305293295118,46.4833232263165,50.38685396458901,3,138.8948508898417,6.709116709405418,0.36770754390292737,0.07135372794259748,0.36770754390292737,9.316426595052121,2.472532742114549,0.5876762156829888,2.018535923328218,1.4788901706598325,100.0,0,Yes,PASS,
6,phase288_rep1,run06_phase288_rep1.mp4.mp4,288,-72,1,0.999569918699187,12.301617167952335,11.302047249253148,498.8010922061073,44.13369376411593,46.787685374799295,3,130.87009300125968,5.435614720142501,0.3259521484374659,0.06534712003051925,0.3259521484374659,7.4652099609375,1.854232546608979,0.5111337732888294,2.366342103843399,1.8170339231823043,100.0,0,Yes,PASS,
7,phase120_rep1,run07_phase120_rep1.mp4.mp4,120,120,1,1.0662095238095237,12.248317865254004,11.18210834144448,520.5060866143967,46.54811693115459,48.970914387917595,3,137.9128959487986,5.398896797864268,0.6521198272705107,0.12528572557377537,0.437686602274578,9.22929890950519,2.1936257338667566,0.5355594982003254,0.8162345560391411,0.8702100251344979,100.0,0,Yes,PASS,
8,phase240_rep2,run08_phase240_rep2.mp4.mp4,240,-120,2,1.2661222222222221,12.5923379124918,11.326215690269578,519.6283575481839,45.878373832718005,49.05194081512821,3,135.26229936546747,3.6255532580688263,0.0,0.0,0.0,7.76812744140625,1.7755173108553746,0.5941233807530754,1.1193170061152469,1.1919491037220427,100.0,0,Yes,PASS,
9,phase180_rep2,run09_phase180_rep2.mp4.mp4,180,180,2,1.099527427184466,12.062103201542602,10.962575774358136,521.6452653990851,47.584187889422154,51.18626633941103,3,143.8220714992947,4.858439532947168,0.7019474453396768,0.13456413618604424,0.35122977362738794,8.089162190755246,1.8518733696951293,0.5288673841682011,0.8978397985995372,0.9010193903749004,100.0,0,Yes,PASS,1 incomplete LED interval(s) excluded from cycle metrics
10,phase288_rep2,run10_phase288_rep2.mp4.mp4,288,-72,2,1.2328051632498103,12.706414766318664,11.473609603068855,505.39121320313876,44.048144453857084,46.88198879849739,3,129.77673945603544,3.676603258322178,1.5022473653157817,0.29724445658535087,0.6032933553059934,5.926584879557311,1.364166075042637,0.551630172678828,2.746571632186937,2.016719737686528,100.0,0,Yes,PASS,
