Include,Randomised Run Order,Test ID,Video Filename,Phase Shift (deg),Repeat Number,Waveform,Drive Length (mm),Speed Multiplier,Cilia Spacing (mm),Surface Material,Recording Date,Operator Notes
1,1.0,phase270_rep1,run01_phase270_rep1.mp4.mp4,270.0,1.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,2.0,phase072_rep1,run02_phase72_rep1.mp4.mp4,72.0,1.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,3.0,phase180_rep1,run03_phase180_rep1.mp4.mp4,180.0,1.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,4.0,phase240_rep1,run04_phase240_rep1.mp4.mp4,240.0,1.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,5.0,phase090_rep1,run05_phase90_rep1.mp4.mp4,90.0,1.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,6.0,phase288_rep1,run06_phase288_rep1.mp4.mp4,288.0,1.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,7.0,phase120_rep1,run07_phase120_rep1.mp4.mp4,120.0,1.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,8.0,phase240_rep2,run08_phase240_rep2.mp4.mp4,240.0,2.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,9.0,phase180_rep2,run09_phase180_rep2.mp4.mp4,180.0,2.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,10.0,phase288_rep2,run10_phase288_rep2.mp4.mp4,288.0,2.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,11.0,phase120_rep2,run11_phase120_rep2.mp4.mp4,120.0,2.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,12.0,phase072_rep2,run12_phase72_rep2.mp4.mp4,72.0,2.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,13.0,phase270_rep2,run13_phase270_rep2.mp4.mp4,270.0,2.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,14.0,phase090_rep2,run14_phase90_rep2.mp4.mp4,90.0,2.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,15.0,phase120_rep3,run15_phase120_rep3.mp4.mp4,120.0,3.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,16.0,phase090_rep3,run16_phase90_rep3.mp4.mp4,90.0,3.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,17.0,phase072_rep3,run17_phase72_rep3.mp4.mp4,72.0,3.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,18.0,phase288_rep3,run18_phase288_rep3.mp4.mp4,288.0,3.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,19.0,phase270_rep3,run19_phase270_rep3.mp4.mp4,270.0,3.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,20.0,phase180_rep3,run20_phase180_rep3.mp4.mp4,180.0,3.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
1,21.0,phase240_rep3,run21_phase240_rep3.mp4.mp4,240.0,3.0,Rounded triangle,70.0,1.0,87.0,High-friction surface,,
