method,frame,time_s,x_px,y_px,marker_radius_px,marker_radius_mm,area_px2
centroid,0,0.0,1004.1083718541345,626.0820493066255,20.32649089898599,3.522783426739938,1298.0
centroid,1,0.03335437139154,999.6292945187515,627.9512195121952,20.113971893676243,3.485951765363021,1271.0
centroid,2,0.06670874278308,995.6359158679445,629.6854366347178,19.963065333312567,3.459798154664678,1252.0
centroid,3,0.10006311417462001,992.0002613354239,630.8473801123741,20.149547385175307,3.4921173525503932,1275.5
centroid,4,0.13341748556616,987.4772697668359,632.2331639963527,20.181117396520943,3.4975887501124756,1279.5
centroid,5,0.1667718569577,983.3243171572526,633.4642004773269,20.002887964817102,3.4666998135378457,1257.0
centroid,6,0.20012622834924002,978.8166007905138,634.5990777338603,20.066439794405365,3.477713978900924,1265.0
centroid,7,0.23348059974078,974.4923949471512,635.189997422016,20.287303488528025,3.515991858004133,1293.0
centroid,8,0.26683497113232,969.5592275790564,636.1832555728356,20.232313600583467,3.506461562447853,1286.0
centroid,9,0.30018934252386004,965.1500913599581,636.6516575306708,20.16139193252045,3.494170130636491,1277.0
centroid,10,0.3335437139154,960.2677638453499,637.1337513061651,20.153496341094687,3.492801745962658,1276.0
centroid,11,0.36689808530694,956.223102310231,637.5717491749174,20.046601490203663,3.474275803093615,1262.5
centroid,12,0.40025245669848003,951.5821689953425,637.6274118429807,19.967051170495804,3.4604889399674916,1252.5
centroid,13,0.43360682809002005,947.7294337606837,637.8289262820513,19.931149940667517,3.454266899081675,1248.0
centroid,14,0.46696119948156,943.2168658698538,637.7568393094289,19.98696843347328,3.4639408001174683,1255.0
centroid,15,0.5003155708731001,938.4113840464869,637.4074220813524,20.042631473036266,3.4735877595571933,1262.0
centroid,16,0.53366994226464,933.8682857877151,636.6232331020302,20.318659463172676,3.521426160873054,1297.0
centroid,17,0.56702431365618,929.4078827952807,636.0763645792817,20.228380031264564,3.505779835686779,1285.5
centroid,18,0.6003786850477201,925.5190550770034,635.1583137561994,20.16139193252045,3.494170130636491,1277.0
centroid,19,0.63373305643926,921.3752463539614,634.5238470634608,20.094180516361906,3.48252172245292,1268.5
centroid,20,0.6670874278308,916.9458857442347,633.4147012578617,20.12188299403865,3.487322837890122,1272.0
centroid,21,0.7004417992223401,912.7761594480644,631.9606490353902,20.3773218683603,3.5315929402642756,1304.5
centroid,22,0.73379617061388,908.7242617717478,630.7148177706837,19.971036212182124,3.4611795874027624,1253.0
centroid,23,0.7671505420054201,904.5482771677395,629.0854474315285,20.50190734311556,3.5531848445364607,1320.5
centroid,24,0.8005049133969601,900.9037640667443,627.7851506920191,20.25196998683867,3.5098682100622174,1288.5
centroid,25,0.8338592847885,897.3255391010651,626.1483502208365,20.208700699792736,3.502369211437724,1283.0
centroid,26,0.8672136561800401,893.8766114180478,624.7124440936595,20.082296327732614,3.4804620741372525,1267.0
centroid,27,0.90056802757158,890.1436293436293,622.9395109395109,20.302987529130018,3.518710058532281,1295.0
centroid,28,0.93392239896312,885.4988381099922,620.3048024786987,20.27160731326635,3.5132715544185404,1291.0
