method,frame,time_s,x_px,y_px,marker_radius_px,marker_radius_mm,area_px2,x_mm,y_mm,motion_radius_px,motion_radius_mm,theta_rad,theta_unwrapped_rad,theta_unwrapped_deg,rev_float,rev_index
centroid,0,0.0,1004.1083718541345,626.0820493066255,20.32649089898599,3.522783426739938,1298.0,9.724963753521735,-20.925696656997683,133.14345951520164,23.075088311596893,-1.1357542006976609,-1.1357542006976609,-65.07392226423022,0.0,1
centroid,1,0.03335437139154,999.6292945187515,627.9512195121952,20.113971893676243,3.485951765363021,1271.0,8.948695017192009,-21.249642479946655,133.03923982972677,23.057026001552554,-1.1722148372565289,-1.1722148372565289,-67.16296285741376,0.005802890536620945,1
centroid,2,0.06670874278308,995.6359158679445,629.6854366347178,19.963065333312567,3.459798154664678,1252.0,8.256602702897766,-21.550199588793028,133.15882316189146,23.07775098466733,-1.2049140816024708,-1.2049140816024708,-69.03649155170325,0.011007136909647306,1
centroid,3,0.10006311417462001,992.0002613354239,630.8473801123741,20.149547385175307,3.4921173525503932,1275.5,7.626507543031569,-21.751575972264142,132.99772028432832,23.049830250591786,-1.2335705049087904,-1.2335705049087904,-70.67838366309569,0.015567948330181854,1
centroid,4,0.13341748556616,987.4772697668359,632.2331639963527,20.181117396520943,3.4975887501124756,1279.5,6.842628032481063,-21.99174612872565,132.89301479626837,23.031683746118418,-1.269146126236094,-1.269146126236094,-72.71671661870577,0.021229984317987654,1
centroid,5,0.1667718569577,983.3243171572526,633.4642004773269,20.002887964817102,3.4666998135378457,1257.0,6.122879960972754,-22.205097018185114,132.9052318825266,23.03380108891051,-1.3017403274960173,-1.3017403274960173,-74.58422678749939,0.026417512564636585,1
centroid,6,0.20012622834924002,978.8166007905138,634.5990777338603,20.066439794405365,3.477713978900924,1265.0,5.341647795120457,-22.40178255582011,132.88231779025614,23.029829848380587,-1.336719861495676,-1.336719861495676,-76.5884064550142,0.031984678307733265,1
centroid,7,0.23348059974078,974.4923949471512,635.189997422016,20.287303488528025,3.515991858004133,1293.0,4.592219831655806,-22.504194826305657,132.5253384286168,22.967961767701006,-1.369499395986072,-1.369499395986072,-78.4665354357174,0.037201703254131066,1
centroid,8,0.26683497113232,969.5592275790564,636.1832555728356,20.232313600583467,3.506461562447853,1286.0,3.737252767639575,-22.676336361682843,132.60771561987812,22.982238555837185,-1.4074561474683656,-1.4074561474683656,-80.64129709967975,0.04324270787624869,1
centroid,9,0.30018934252386004,965.1500913599581,636.6516575306708,20.16139193252045,3.494170130636491,1277.0,2.9731055237268005,-22.757515088611886,132.4268967400205,22.950900842093596,-1.4408892561907523,-1.4408892561907523,-82.55687312547452,0.04856375239234529,1
centroid,10,0.3335437139154,960.2677638453499,637.1337513061651,20.153496341094687,3.492801745962658,1276.0,2.126949512940106,-22.841066743980516,132.36332522745192,22.939883265473885,-1.4779445543067011,-1.4779445543067011,-84.67998531611747,0.05446128625524235,1
centroid,11,0.36689808530694,956.223102310231,637.5717491749174,20.046601490203663,3.474275803093615,1262.5,1.425969363759492,-22.916976139294047,132.48688568593232,22.96129752421133,-1.508653167387241,-1.508653167387241,-86.43945924033264,0.05934871382250672,1
centroid,12,0.40025245669848003,951.5821689953425,637.6274118429807,19.967051170495804,3.4604889399674916,1252.5,0.6216493732829317,-22.926623034349173,132.33543387260184,22.93504941574038,-1.5436882310184545,-1.5436882310184545,-88.44682052137345,0.06492471738095343,1
centroid,13,0.43360682809002005,947.7294337606837,637.8289262820513,19.931149940667517,3.454266899081675,1248.0,-0.04606803547796902,-22.96154749473609,132.48859466966928,22.961593708123004,-1.572802636416506,-1.572802636416506,-90.1149530737147,0.06955841891523468,1
centroid,14,0.46696119948156,943.2168658698538,637.7568393094289,19.98696843347328,3.4639408001174683,1255.0,-0.8281410188008059,-22.9490541040323,132.50242947277405,22.96399141736519,-1.6068667385052529,-1.6068667385052529,-92.06668235630268,0.07497988914464572,1
