method,frame,time_s,x_px,y_px,marker_radius_px,marker_radius_mm,area_px2
hough,0,0.0,1003.0,625.0,21.0,3.639509265479227,1298.0
hough,1,0.03335437139154,1000.0,627.0,21.0,3.639509265479227,1271.0
hough,2,0.06670874278308,995.0,630.0,21.0,3.639509265479227,1252.0
hough,3,0.10006311417462001,992.0,631.0,20.0,3.466199300456407,1275.5
hough,4,0.13341748556616,988.0,631.0,20.0,3.466199300456407,1279.5
hough,5,0.1667718569577,983.0,634.0,20.0,3.466199300456407,1257.0
hough,6,0.20012622834924002,979.0,633.0,20.0,3.466199300456407,1265.0
hough,7,0.23348059974078,973.0,635.0,20.0,3.466199300456407,1293.0
hough,8,0.26683497113232,970.0,636.0,20.0,3.466199300456407,1286.0
hough,9,0.30018934252386004,964.0,635.0,22.0,3.8128192305020474,1277.0
hough,10,0.3335437139154,960.0,636.0,21.0,3.639509265479227,1276.0
hough,11,0.36689808530694,956.0,638.0,21.0,3.639509265479227,1262.5
hough,12,0.40025245669848003,951.0,638.0,20.0,3.466199300456407,1252.5
hough,13,0.43360682809002005,948.0,637.0,21.0,3.639509265479227,1248.0
hough,14,0.46696119948156,943.0,638.0,20.0,3.466199300456407,1255.0
hough,15,0.5003155708731001,938.0,638.0,21.0,3.639509265479227,1262.0
hough,16,0.53366994226464,933.0,636.0,21.0,3.639509265479227,1297.0
hough,17,0.56702431365618,930.0,635.0,20.0,3.466199300456407,1285.5
hough,18,0.6003786850477201,925.0,635.0,20.0,3.466199300456407,1277.0
hough,19,0.63373305643926,921.0,634.0,20.0,3.466199300456407,1268.5
hough,20,0.6670874278308,916.0,633.0,21.0,3.639509265479227,1272.0
hough,21,0.7004417992223401,913.0,631.0,20.0,3.466199300456407,1304.5
hough,22,0.73379617061388,908.0,629.0,20.0,3.466199300456407,1253.0
hough,23,0.7671505420054201,904.0,631.0,20.0,3.466199300456407,1320.5
hough,24,0.8005049133969601,901.0,628.0,20.0,3.466199300456407,1288.5
hough,25,0.8338592847885,897.0,626.0,20.0,3.466199300456407,1283.0
hough,26,0.8672136561800401,893.0,625.0,20.0,3.466199300456407,1267.0
hough,27,0.90056802757158,890.0,623.0,21.0,3.639509265479227,1295.0
hough,28,0.93392239896312,885.0,620.0,20.0,3.466199300456407,1291.0
hough,29,0.9672767703546601,882.0,618.0,21.0,3.639509265479227,1282.0
hough,30,1.0006311417462002,877.0,616.0,21.0,3.639509265479227,1255.0
hough,31,1.03398551313774,874.0,613.0,20.0,3.466199300456407,1251.0
hough,32,1.06733988452928,871.0,613.0,19.0,3.2928893354335864,1237.0
hough,33,1.1006942559208202,868.0,608.0,20.0,3.466199300456407,1259.5
hough,34,1.13404862731236,866.0,605.0,22.0,3.8128192305020474,1246.0
hough,35,1.1674029987039,860.0,602.0,21.0,3.639509265479227,1282.0
hough,36,1.2007573700954401,858.0,597.0,19.0,3.2928893354335864,1278.0
hough,37,1.23411174148698,854.0,596.0,19.0,3.2928893354335864,1239.5
hough,38,1.26746611287852,851.0,592.0,20.0,3.466199300456407,1222.5
hough,39,1.3008204842700601,845.0,591.0,17.0,2.946269405387946,1200.0
hough,40,1.3341748556616,845.0,585.0,19.0,3.2928893354335864,1247.0
hough,41,1.36752922705314,842.0,581.0,20.0,3.466199300456407,1266.5
hough,42,1.4008835984446801,841.0,578.0,22.0,3.8128192305020474,1233.0
hough,43,1.43423796983622,838.0,573.0,20.0,3.466199300456407,1235.5
hough,44,1.46759234122776,837.0,570.0,20.0,3.466199300456407,1234.5
hough,45,1.5009467126193001,835.0,565.0,20.0,3.466199300456407,1251.0
hough,46,1.5343010840108402,832.0,562.0,20.0,3.466199300456407,1231.0
hough,47,1.56765545540238,830.0,558.0,19.0,3.2928893354335864,1226.5
hough,48,1.6010098267939201,829.0,551.0,20.0,3.466199300456407,1226.5
hough,49,1.6343641981854602,827.0,547.0,20.0,3.466199300456407,1248.0
hough,50,1.667718569577,825.0,544.0,20.0,3.466199300456407,1242.0
hough,51,1.7010729409685401,823.0,539.0,20.0,3.466199300456407,1216.0
hough,52,1.7344273123600802,822.0,537.0,19.0,3.2928893354335864,1243.0
hough,53,1.76778168375162,821.0,530.0,20.0,3.466199300456407,1230.5
hough,54,1.80113605514316,821.0,526.0,20.0,3.466199300456407,1211.5
hough,55,1.8344904265347002,820.0,520.0,20.0,3.466199300456407,1221.0
hough,56,1.86784479792624,820.0,516.0,20.0,3.466199300456407,1235.5
hough,57,1.90119916931778,820.0,512.0,20.0,3.466199300456407,1224.0
hough,58,1.9345535407093202,819.0,509.0,19.0,3.2928893354335864,1234.0
hough,59,1.96790791210086,820.0,501.0,19.0,3.2928893354335864,1195.5
hough,60,2.0012622834924003,819.0,498.0,19.0,3.2928893354335864,1214.5
hough,61,2.03461665488394,821.0,493.0,20.0,3.466199300456407,1192.0
hough,62,2.06797102627548,822.0,489.0,21.0,3.639509265479227,1214.5
hough,63,2.1013253976670203,821.0,484.0,20.0,3.466199300456407,1220.5
hough,64,2.13467976905856,822.0,480.0,20.0,3.466199300456407,1192.0
hough,65,2.1680341404501,823.0,475.0,20.0,3.466199300456407,1212.5
hough,66,2.2013885118416403,825.0,473.0,20.0,3.466199300456407,1240.5
hough,67,2.23474288323318,825.0,465.0,20.0,3.466199300456407,1215.0
hough,68,2.26809725462472,827.0,462.0,20.0,3.466199300456407,1196.0
hough,69,2.3014516260162603,828.0,456.0,19.0,3.2928893354335864,1204.5
hough,70,2.3348059974078,831.0,453.0,20.0,3.466199300456407,1179.0
hough,71,2.36816036879934,831.0,450.0,19.0,3.2928893354335864,1209.0
