method,frame,time_s,x_px,y_px,marker_radius_px,marker_radius_mm,area_px2,x_mm,y_mm,motion_radius_px,motion_radius_mm,theta_rad,theta_unwrapped_rad,theta_unwrapped_deg,rev_float,rev_index
hough,0,0.0,1003.0,625.0,21.0,3.639509265479227,1298.0,9.548369728790934,-20.767696801747345,131.88838815795933,22.857571938572082,-1.1398472049166863,-1.1398472049166863,-65.30843413150963,0.0,1
hough,1,0.03335437139154,1000.0,627.0,21.0,3.639509265479227,1271.0,9.028439833722473,-21.114316731792986,132.50019259034977,22.96360374335048,-1.1667272004601057,-1.1667272004601057,-66.84854442947801,0.0042780841610232856,1
hough,2,0.06670874278308,995.0,630.0,21.0,3.639509265479227,1252.0,8.16189000860837,-21.634246626861447,133.41790741413257,23.122652867361197,-1.2100395237985335,-1.2100395237985335,-69.3301577576759,0.011171454517128549,1
hough,3,0.10006311417462001,992.0,631.0,20.0,3.466199300456407,1275.5,7.64196011353991,-21.807556591884268,133.33203869784623,23.107770963145057,-1.2337410150623072,-1.2337410150623072,-70.68815317525633,0.01494366401040751,1
hough,4,0.13341748556616,988.0,631.0,20.0,3.466199300456407,1279.5,6.948720253448628,-21.807556591884268,132.0631634283816,22.887862234575824,-1.262329188464511,-1.262329188464511,-72.32613485519076,0.019493613121336476,1
hough,5,0.1667718569577,983.0,634.0,20.0,3.466199300456407,1257.0,6.082170428334527,-22.32748648695273,133.52421547044455,23.14107711288227,-1.3048421176500564,-1.3048421176500564,-74.76194627226106,0.026259755946531745,1
hough,6,0.20012622834924002,979.0,633.0,20.0,3.466199300456407,1265.0,5.388930568243246,-22.15417652192991,131.55722377493322,22.800177850933025,-1.3321837304885291,-1.3321837304885291,-76.32850529298625,0.030611308781879506,1
hough,7,0.23348059974078,973.0,635.0,20.0,3.466199300456407,1293.0,4.349070778106324,-22.50079645197555,132.23271976513107,22.91724803736727,-1.379865570538347,-1.379865570538347,-79.06047348725866,0.038200109321525094,1
hough,8,0.26683497113232,970.0,636.0,20.0,3.466199300456407,1286.0,3.829140883037862,-22.67410641699837,132.68227726807223,22.995160832477747,-1.403497579373352,-1.403497579373352,-80.41448785492032,0.04196126034280749,1
hough,9,0.30018934252386004,964.0,635.0,22.0,3.8128192305020474,1277.0,2.78928109290094,-22.50079645197555,130.82353384275123,22.67302207444897,-1.4474618578527778,-1.4474618578527778,-82.93345546112927,0.048958392582276786,1
hough,10,0.3335437139154,960.0,636.0,21.0,3.639509265479227,1276.0,2.096041232809659,-22.67410641699837,131.38760664351204,22.77078151181915,-1.478616241561601,-1.478616241561601,-84.71847016097597,0.053916766748517614,1
hough,11,0.36689808530694,956.0,638.0,21.0,3.639509265479227,1262.5,1.4028013727183777,-23.02072634704401,133.07617718033663,23.063427612494785,-1.5099351318926244,-1.5099351318926244,-86.51291039597669,0.05890132295685295,1
hough,12,0.40025245669848003,951.0,638.0,20.0,3.466199300456407,1252.5,0.536251547604276,-23.02072634704401,132.8658239434305,23.026971300364146,-1.547506245641427,-1.547506245641427,-88.66557664538901,0.06488095142744273,1
hough,13,0.43360682809002005,948.0,637.0,21.0,3.639509265479227,1248.0,0.016321652535814895,-22.84741638202119,131.82982414723142,22.847422211921234,-1.5700819506270878,-1.5700819506270878,-89.95906926059983,0.06847398646969502,1
hough,14,0.46696119948156,943.0,638.0,20.0,3.466199300456407,1255.0,-0.8502281725782868,-23.02072634704401,132.92035342618377,23.036421803112827,-1.60771270766482,-1.60771270766482,-92.11515281874411,0.07446310746454023,1
hough,15,0.5003155708731001,938.0,638.0,21.0,3.639509265479227,1262.0,-1.7167779976923885,-23.02072634704401,133.19864336462265,23.084652222609872,-1.6452338550509238,-1.6452338550509238,-94.26495620645618,0.08043478354151819,1
hough,16,0.53366994226464,933.0,636.0,21.0,3.639509265479227,1297.0,-2.58332782280649,-22.67410641699837,131.6761849059109,22.820795000381842,-1.6842401035072925,-1.6842401035072925,-96.49984961764478,0.08664282079481987,1
hough,17,0.56702431365618,930.0,635.0,20.0,3.466199300456407,1285.5,-3.103257717874951,-22.50079645197555,131.05873886887102,22.71378544929898,-1.7078493991105295,-1.7078493991105295,-97.85256261298703,0.09040035689299278,1
hough,18,0.6003786850477201,925.0,635.0,20.0,3.466199300456407,1277.0,-3.9698075429890527,-22.50079645197555,131.83493950062422,22.84830875363882,-1.7454288193798269,-1.7454288193798269,-100.00570479096615,0.09638130738737923,1
hough,19,0.63373305643926,921.0,634.0,20.0,3.466199300456407,1268.5,-4.663047403080334,-22.32748648695273,131.60941563392566,22.80922322018948,-1.776684773184763,-1.776684773184763,-101.79653902864486,0.10135584693648675,1
hough,20,0.6670874278308,916.0,633.0,21.0,3.639509265479227,1272.0,-5.529597228194436,-22.15417652192991,131.7514210235336,22.833834169295482,-1.8153948623313194,-1.8153948623313194,-104.01446376131771,0.10751674897168913,1
hough,21,0.7004417992223401,913.0,631.0,20.0,3.466199300456407,1304.5,-6.049527123262897,-21.807556591884268,130.58159412117152,22.631091509764357,-1.8413971497186508,-1.8413971497186508,-105.50428508629805,0.11165514154107896,1
hough,22,0.73379617061388,908.0,629.0,20.0,3.466199300456407,1253.0,-6.916076948376999,-21.460936661838627,130.10108301019665,22.547814145928225,-1.882551184052678,-1.882551184052678,-107.8622375635743,0.11820500953351297,1
hough,23,0.7671505420054201,904.0,631.0,20.0,3.466199300456407,1320.5,-7.60931680846828,-21.807556591884268,133.26986738887442,23.09699605576173,-1.9065178477620457,-1.9065178477620457,-109.23542624313042,0.12201942253227997,1
hough,24,0.8005049133969601,901.0,628.0,20.0,3.466199300456407,1288.5,-8.12924670353674,-21.287626696815806,131.48122966544244,22.787007314475236,-1.9355821334897834,-1.9355821334897834,-110.90068714989211,0.12664514727328466,1
hough,25,0.8338592847885,897.0,626.0,20.0,3.466199300456407,1283.0,-8.822486563628022,-20.941006766770165,131.11537355966178,22.723600805579004,-1.9695305104550918,-1.9695305104550918,-112.84578587132341,0.13204819927726053,1
hough,26,0.8672136561800401,893.0,625.0,20.0,3.466199300456407,1267.0,-9.515726423719304,-20.767696801747345,131.8098182764084,22.843954995148646,-2.000447130341058,-2.000447130341058,-114.61717770759951,0.13696873215580524,1
hough,27,0.90056802757158,890.0,623.0,21.0,3.639509265479227,1295.0,-10.035656318787765,-20.421076871701704,131.2895425217324,22.753786022303522,-2.0275694511451445,-2.0275694511451445,-116.17117222027355,0.14128538357989978,1
hough,28,0.93392239896312,885.0,620.0,20.0,3.466199300456407,1291.0,-10.902206143901866,-19.901146976633246,130.93136931899917,22.69171103706572,-2.071962739317381,-2.071962739317381,-118.71472027125074,0.1483507948326142,1
hough,29,0.9672767703546601,882.0,618.0,21.0,3.639509265479227,1282.0,-11.422136038970327,-19.554527046587605,130.66804985632152,22.646075150199227,-2.0994554468572084,-2.0994554468572084,-120.28993638067034,0.15272639513655753,1
hough,30,1.0006311417462002,877.0,616.0,21.0,3.639509265479227,1255.0,-12.28868586408443,-19.207907116541964,131.57081108837866,22.80253266775101,-2.139947927217599,-2.139947927217599,-122.60998460733708,0.15917097354396514,1
hough,31,1.03398551313774,874.0,613.0,20.0,3.466199300456407,1251.0,-12.80861575915289,-18.687977221473503,130.72618150524582,22.656149944241015,-2.1716517715660015,-2.1716517715660015,-124.42648108284024,0.16421679708702946,1
hough,32,1.06733988452928,871.0,613.0,19.0,3.2928893354335864,1237.0,-13.328545654221351,-18.687977221473503,132.4453452352444,22.95409815015557,-2.1903364664821305,-2.1903364664821305,-125.49703524302399,0.16719055864309545,1
hough,33,1.1006942559208202,868.0,608.0,20.0,3.466199300456407,1259.5,-13.848475549289812,-17.8214273963594,130.22636642760594,22.56952701061737,-2.23139760833272,-2.23139760833272,-127.84966537305075,0.17372564233761423,1
hough,34,1.13404862731236,866.0,605.0,22.0,3.8128192305020474,1246.0,-14.195095479335453,-17.30149750129094,129.12997740872908,22.379511868104416,-2.257885819224558,-2.257885819224558,-129.36732806400553,0.17794137203471086,1
hough,35,1.1674029987039,860.0,602.0,21.0,3.639509265479227,1282.0,-15.234955269472374,-16.781567606222477,130.78012926132217,22.66549962795967,-2.307925319962791,-2.307925319962791,-132.23438026524803,0.18590540592705113,1
hough,36,1.2007573700954401,858.0,597.0,19.0,3.2928893354335864,1278.0,-15.581575199518015,-15.915017781108377,128.51368643150536,22.272702500397894,-2.345608261847086,-2.345608261847086,-134.3934537948549,0.19190283239818132,1
hough,37,1.23411174148698,854.0,596.0,19.0,3.2928893354335864,1239.5,-16.274815059609296,-15.741707816085556,130.64591310326333,22.64223863030099,-2.3728439553681904,-2.3728439553681904,-135.953944085726,0.196237527650601,1
hough,38,1.26746611287852,851.0,592.0,20.0,3.466199300456407,1222.5,-16.794744954677757,-15.048467955994274,130.11591459178533,22.550384606814593,-2.4109794632378123,-2.4109794632378123,-138.13894773624327,0.20230698223537122,1
hough,39,1.3008204842700601,845.0,591.0,17.0,2.946269405387946,1200.0,-17.83460474481468,-14.875157990971454,134.00134900858518,23.22376910968864,-2.4464247669158015,-2.4464247669158015,-140.16981404055159,0.20794827752511655,1
hough,40,1.3341748556616,845.0,585.0,19.0,3.2928893354335864,1247.0,-17.83460474481468,-13.835298200834533,130.23979441789965,22.5718542151455,-2.481810562947816,-2.481810562947816,-142.19727080789679,0.2135801018788532,1
hough,41,1.36752922705314,842.0,581.0,20.0,3.466199300456407,1266.5,-18.35453463988314,-13.142058340743251,130.25436909942061,22.574380152690118,-2.5202013334923286,-2.5202013334923286,-144.3968999323525,0.21969018278011912,1
hough,42,1.4008835984446801,841.0,578.0,22.0,3.8128192305020474,1233.0,-18.52784460490596,-12.62212844567479,129.3562274275306,22.41872325094932,-2.543560468179001,-2.543560468179001,-145.7352797629765,0.22340790453185239,1
hough,43,1.43423796983622,838.0,573.0,20.0,3.466199300456407,1235.5,-19.047774499974423,-11.755578620560689,129.15173484215006,22.383282648129594,-2.588648908896998,-2.588648908896998,-148.31865712094353,0.2305839527484275,1
hough,44,1.46759234122776,837.0,570.0,20.0,3.466199300456407,1234.5,-19.221084464997244,-11.235648725492227,128.4640164307965,22.26409419431236,-2.612612317481419,-2.612612317481419,-149.6916592955784,0.2343978476779688,1
hough,45,1.5009467126193001,835.0,565.0,20.0,3.466199300456407,1251.0,-19.567704395042885,-10.369098900378127,127.7784367886034,22.145276410503516,-2.654305270897578,-2.654305270897578,-152.0804895617599,0.24103348730625074,1
hough,46,1.5343010840108402,832.0,562.0,20.0,3.466199300456407,1231.0,-20.087634290111346,-9.849169005309665,129.08828416486048,22.372286013467864,-2.6857270095602668,-2.6857270095602668,-153.88082257209498,0.24603441233495932,1
hough,47,1.56765545540238,830.0,558.0,19.0,3.2928893354335864,1226.5,-20.434254220156983,-9.155929145218384,129.20050340556818,22.391734726149803,-2.7203467970452113,-2.7203467970452113,-155.86439028262214,0.2515443226419792,1
